PRODUTO           |KIT ID             |QTDE            |COD INTERNO
SAID 16X450       |113-16-16          |          1,0000|        11474
SAID 16X750       |100R2AT-16         |          0,7500|        11101
SAID 16X750       |ORS-16-16          |          2,0000|        22115
SAID 1X2650       |100R13-16          |          2,6500|        11075
SAID 1X2650       |M47512-16-16       |          2,0000|       332411
SAID 1X2650       |MP-32              |          2,6500|        21337
SAID 3/4X1100     |100-12-12          |          2,0000|        11026
SAID 3/4X1100     |100R2AT-12         |          1,1000|        11100
SAID 3/4X1130     |100R12-12          |          1,1300|        11068
SAID 3/4X1130     |ORS-12-12          |          2,0000|        22111
SAID 3/8X1550     |100R2AT-6          |          1,5500|        11107
SAID 3/8X1550     |HE213-6-6          |          2,0000|        18540
SAID 4X12000      |100R2AT-4          |         12,0000|        11105
SAID 4X12000      |101-6-4            |          1,0000|        11158
SAID 4X12000      |FF 1/2X1/4         |          1,0000|        17754
SAID 4X20000      |100-6-4            |          1,0000|        11046
SAID 4X20000      |100R2AT-4          |         20,0000|        11105
SAID 4X20000      |FF 1/2X1/4         |          1,0000|        17754
SAID.16X1500      |100-16-16          |          1,0000|        11033
SAID.16X1500      |100R2AT-16         |          1,5000|        11101
SAID.16X1500      |ORS-16-16          |          1,0000|        22115
SAID.16X2700      |100R12-16          |          2,7000|        11069
SAID.16X2700      |105-16-16 14MM     |          1,0000|        11297
SAID.16X2700      |109-16-16 14MM     |          1,0000|        11374
SBENTO 10X340     |2807-12            |          0,3400|        12311
SBENTO 10X340     |HG207-26-10        |          2,0000|        18717
SBENTO 10X500     |100R2AT-10         |          0,5000|        11099
SBENTO 10X500     |AA16               |          2,0000|        13633
SBENTO 10X500     |PA16               |          2,0000|        22193
SBENTO 10X500     |PL-16-10           |          2,0000|        22352
SBENTO 10X600     |100R2AT-10         |          0,6000|        11099
SBENTO 10X600     |AA16               |          2,0000|        13633
SBENTO 10X600     |PA16               |          2,0000|        22193
SBENTO 10X600     |PL-16-10           |          2,0000|        22352
SBENTO 12X610     |100R2AT-12         |          0,6100|        11100
SBENTO 12X610     |105-16-12          |          1,0000|        11294
SBENTO 12X610     |HG207-30-12T1      |          1,0000|        18722
SBENTO 6X300      |100R1AT-6          |          0,3000|        11092
SBENTO 6X300      |103-8-6            |          2,0000|        11251
SBENTO 6X6000     |100R1AT-6          |          6,0000|        11092
SBENTO 6X6000     |W03310-6           |          2,0000|       334814
SBENTO 970        |100R6-7/8          |          0,9700|       336334
SBENTO 970        |HG311-30-12DK2     |          1,0000|       339006
SBENTO.10X600     |2807-12            |          0,6000|        12311
SBENTO.10X600     |AA16               |          1,0000|        13633
SBENTO.10X600     |PA16               |          1,0000|        22193
SBENTO.10X600     |PL-16-10           |          1,0000|        22352
SBENTO.10X600     |W03310-8           |          1,0000|       334815
SBM 10X2720       |100-10-10          |          1,0000|        11020
SBM 10X2720       |100R2AT-10         |          2,7200|        11099
SBM 10X2720       |112-10-10          |          1,0000|        11423
SBM 6X1400        |100R2AT-6          |          1,4000|        11107
SBM 6X1400        |HG560-6-6          |          1,0000|        18850
SBM 6X1400        |HG568-6-6          |          1,0000|        18858
SBM 6X1870        |100R2AT-6          |          1,8700|        11107
SBM 6X1870        |MP-20-6            |          1,8700|        21333
SBM 6X1870        |ORS-6-6            |          1,0000|        22120
SBM 6X1870        |ORS90-6-6          |          1,0000|        22142
SBM 6X3920        |100R2AT-6          |          3,9200|        11107
SBM 6X3920        |ORS-6-6            |          2,0000|        22120
SBM 6X420         |100R2AT-6          |          0,4200|        11107
SBM 6X420         |MP-20-6            |          0,4200|        21333
SBM 6X420         |ORS-6-6            |          1,0000|        22120
SBM 6X420         |ORS90-6-6          |          1,0000|        22142
SBM 6X500         |100R2AT-6          |          0,5000|        11107
SBM 6X500         |ORS-6-6            |          2,0000|        22120
SBM 6X5350        |100R2AT-6          |          5,3500|        11107
SBM 6X5350        |ORS-6-6            |          2,0000|        22120
SBM.6X1400        |100R2AT-6          |          1,4000|        11107
SBM.6X1400        |HG560-6-6          |          1,0000|        18850
SBM.6X1400        |HG569-6-6          |          1,0000|        18869
SCHICO 10X1100    |100-10-10          |          2,0000|        11020
SCHICO 10X1100    |EQUATOR-10         |          1,1000|       339374
SCHICO 10X2100    |100R2AT-10         |          2,1000|        11099
SCHICO 10X2100    |ORS-12-10          |          2,0000|       332859
SCHICO 10X2600    |100-12-10          |          2,0000|        11025
SCHICO 10X2600    |100R2AT-10         |          2,6000|        11099
SCHICO 20X1000    |100-20-20          |          2,0000|        11036
SCHICO 20X1000    |EQUATOR-20         |          1,0000|       338783
SCHICO 24X1700    |100R1AT-24         |          1,7000|        11086
SCHICO 24X1700    |101-24-24          |          1,0000|        11153
SCHICO 24X1700    |112-24-24          |          1,0000|        11439
SCHICO 24X3500    |100-24-24          |          1,0000|        11038
SCHICO 24X3500    |100R1AT-24         |          3,5000|        11086
SCHICO 24X3500    |101-24-24          |          1,0000|        11153
SCHICO 32X1500    |100-32-32          |          1,0000|        11039
SCHICO 32X1500    |100R1AT-32         |          1,5000|        11088
SCHICO 32X1500    |101-32-32          |          1,0000|        11154
SCHICO 32X1900    |100R1AT-32         |          1,9000|        11088
SCHICO 32X1900    |101-32-32          |          1,0000|        11154
SCHICO 32X1900    |112-32-32          |          1,0000|        29368
SCHICO 6X270      |100R1AT-6          |          0,2700|        11092
SCHICO 6X270      |HG311-18-6-DKO     |          1,0000|       332605
SCHICO 6X270      |HG325-18-6 DKO     |          1,0000|       335776
SCHICO 6X600      |100R1AT-6          |          0,6000|        11092
SCHICO 6X600      |HG311-18-6-DKO     |          2,0000|       332605
SCHICO 6X8000     |100R7-6            |          8,0000|        11137
SCHICO 6X8000     |103-6-6            |          1,0000|        11245
SCHICO 6X8000     |103-8-6            |          1,0000|        11251
SCHICO 6X850      |100-6-6            |          1,0000|        11048
SCHICO 6X850      |100R2AT-6          |          0,8500|        11107
SCHICO 6X850      |112-6-6            |          1,0000|        11446
SCHICO 8X300      |100R6-8            |          0,3000|        11132
SCHICO 8X300      |HG311-22-8 DKO     |          2,0000|       335701
SCHICO.6X280      |100R1AT-6          |          0,2800|        11092
SCHICO.6X280      |HG325-18-6 DKO     |          2,0000|       335776
SCHICO.6X7600     |100R7-6            |          7,6000|        11137
SCHICO.6X7600     |103-6-6            |          1,0000|        11245
SCHICO.6X7600     |103-8-6            |          1,0000|        11251
SECULO 24X1000    |100-24-24          |          1,0000|        11038
SECULO 24X1000    |100R1AT-24         |          1,0000|        11086
