BARRA           |NOME                                      |GRUPO  |UNIDADE     |ICMS       |ORIGEM    |COMPRA         |MARGEM     |VENDA          |EST MINIMO       |EST ATUAL        |KIT  |ATIVO  |COD INTERNO|NCM           |RED BASE   |OBS1                                                          |OBS2
0401CF 5/16     |LUVA LATAO 0401CF 5/16                    |      3|UN          |    18,0000|000       |           0,19|   100,0000|           0,38|         500,0000|       11560,5000|N    |S      |    10244  |74122000      |     0,0000|                                                              |                                                              
0401CF 5/32     |LUVA LATAO 0401CF 5/32                    |      3|UN          |    18,0000|000       |           0,13|   100,0000|           0,26|         500,0000|        3397,0000|N    |S      |    10245  |74122000      |     0,0000|                                                              |                                                              
0401CF 5/8      |LUVA LATAO 0401CF 5/8                     |      3|UN          |    18,0000|000       |           0,61|   100,0000|           1,22|         500,0000|        2227,0000|N    |S      |    10246  |74122000      |     0,0000|                                                              |                                                              
0401CF 6MM      |LUVA LATAO 0401CF 6MM                     |      3|UN          |    18,0000|000       |           0,23|   100,0000|           0,46|         500,0000|        1198,0000|N    |S      |    10247  |74122000      |     0,0000|                                                              |                                                              
0401CF 7/16     |LUVA LATAO 0401CF 7/16                    |      3|UN          |    18,0000|000       |           0,50|   100,0000|           1,00|         500,0000|         182,0000|N    |S      |    10248  |74122000      |     0,0000|                                                              |                                                              
0401CF 8MM      |LUVA LATAO 0401CF 8MM                     |      3|UN          |    18,0000|000       |           0,26|   100,0000|           0,52|         500,0000|        2880,1000|N    |S      |    10249  |74122000      |     0,0000|                                                              |                                                              
0402CF 1/2      |FLANGE 0402CF 1/2                         |      3|UN          |    18,0000|000       |          13,60|   100,0000|          27,20|           0,0000|          67,0000|N    |S      |    10250  |74122000      |     0,0000|                                                              |                                                              
0402CF 1/4      |FLANGE 0402CF 1/4                         |      3|UN          |    18,0000|000       |           0,69|   100,0000|           1,38|          50,0000|        -113,0000|N    |S      |    10251  |74122000      |     0,0000|                                                              |                                                              
0402CF 3/8      |FLANGE 0402CF 3/8                         |      3|UN          |    18,0000|000       |           1,70|   100,0000|           3,40|          50,0000|        1539,0000|N    |S      |    10255  |74122000      |     0,0000|                                                              |                                                              
0402CF 5/16     |FLANGE 0402CF 5/16                        |      3|UN          |    18,0000|000       |           1,22|   100,0000|           2,44|          50,0000|        1336,0000|N    |S      |    10256  |74122000      |     0,0000|                                                              |                                                              
0402CF 5/8      |FLANGE 0402CF 5/8                         |      3|UN          |    18,0000|000       |           4,92|   100,0000|           9,84|          50,0000|         172,0000|N    |S      |    10257  |74122000      |     0,0000|                                                              |                                                              
0403CF 1/2X1/2  |CONECTOR MACHO 0403CF 1/2X1/2N            |      3|UN          |    18,0000|000       |           7,90|   100,0000|          15,80|          50,0000|         417,0000|N    |S      |    10258  |74122000      |     0,0000|                                                              |                                                              
